Name,Team,League,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SH,SF,GDP,AVG,OBP,SLG,OPS
Aaron Judge,NYY,AL,152.0,679,541.0,137.0,179.0,94.0,30.0,2.0,53.0,114.0,12.0,5.0,124.0,160.0,7.0,0.0,7.0,16.0,0.331,0.457,0.688,1.144
Addison Barger,TOR,AL,135.0,502,460.0,61.0,112.0,58.0,32.0,1.0,21.0,74.0,4.0,1.0,36.0,121.0,3.0,0.0,2.0,8.0,0.243,0.301,0.454,0.756
Adolis García,TEX,AL,135.0,547,507.0,58.0,115.0,68.0,28.0,0.0,19.0,75.0,13.0,4.0,28.0,135.0,5.0,0.0,7.0,9.0,0.227,0.271,0.394,0.665
Alejandro Kirk,TOR,AL,130.0,506,451.0,45.0,127.0,94.0,18.0,0.0,15.0,76.0,1.0,0.0,48.0,59.0,1.0,0.0,6.0,16.0,0.282,0.348,0.421,0.769
Anthony Volpe,NYY,AL,153.0,596,539.0,65.0,114.0,59.0,32.0,4.0,19.0,72.0,18.0,8.0,43.0,150.0,4.0,3.0,7.0,10.0,0.212,0.272,0.391,0.663
Ben Rice,NYY,AL,138.0,530,467.0,74.0,119.0,61.0,28.0,4.0,26.0,65.0,3.0,2.0,50.0,100.0,9.0,0.0,2.0,18.0,0.255,0.337,0.499,0.836
Bo Bichette,TOR,AL,139.0,628,582.0,78.0,181.0,118.0,44.0,1.0,18.0,94.0,4.0,3.0,40.0,91.0,3.0,0.0,3.0,17.0,0.311,0.357,0.483,0.84
Bobby Witt Jr.,KCR,AL,157.0,687,623.0,99.0,184.0,108.0,47.0,6.0,23.0,88.0,38.0,9.0,49.0,125.0,8.0,0.0,7.0,7.0,0.295,0.351,0.501,0.852
Brandon Lowe,TBR,AL,134.0,553,507.0,79.0,130.0,80.0,19.0,0.0,31.0,83.0,3.0,2.0,38.0,149.0,2.0,0.0,6.0,6.0,0.256,0.307,0.477,0.785
Brent Rooker,ATH,AL,162.0,699,626.0,92.0,164.0,91.0,40.0,3.0,30.0,89.0,6.0,1.0,65.0,155.0,5.0,0.0,2.0,13.0,0.262,0.335,0.479,0.814
Brooks Lee,MIN,AL,139.0,527,487.0,50.0,115.0,83.0,15.0,1.0,16.0,64.0,3.0,1.0,31.0,92.0,4.0,0.0,5.0,11.0,0.236,0.285,0.37,0.654
Byron Buxton,MIN,AL,126.0,542,488.0,97.0,129.0,66.0,21.0,7.0,35.0,83.0,24.0,0.0,41.0,148.0,7.0,0.0,6.0,0.0,0.264,0.327,0.551,0.878
