Name,Team,League,IP,TBF,K/9,BB/9,K/BB,K%,BB%,K-BB%,LOB%,GB%,HR/FB,ERA,FIP,xFIP,ERA-,FIP-,xFIP-,WAR
Andrés Muñoz,SEA,AL,62.1,254.0,12.0,4.0,2.96,0.3,0.1,0.2,0.76687117,0.514705882,0.047619047,1.73,2.43,3.05,45.23612081175913,59.81587256618543,72.4705239239954,1.91
Aroldis Chapman,BOS,AL,61.1,228.0,12.5,2.2,5.67,0.4,0.1,0.3,0.87628866,0.385826771,0.052631578,1.17,1.73,2.53,27.50288106961855,40.141888483276325,59.74573148046299,2.65
Brendon Little,TOR,AL,68.1,295.0,12.0,5.9,2.02,0.3,0.2,0.2,0.72668113,0.589743589,0.054054054,3.03,2.92,3.37,74.38744465161452,68.18352187100155,80.26021108673615,1.26
Bryan Abreu,HOU,AL,71.0,296.0,13.3,3.9,3.39,0.4,0.1,0.2,0.84577114,0.348387096,0.06557377,2.28,2.39,2.98,56.01380257230492,56.55857451241049,70.75872436410556,2.23
Bryan Baker,BAL/TB,AL,68.2,274.0,10.9,2.2,4.88,0.3,0.1,0.2,0.74394464,0.38150289,0.180555555,4.06,3.92,3.08,99.42896201143633,93.3802174683648,73.10607178742282,0.48
Bryan King,HOU,AL,68.0,275.0,9.1,1.5,6.27,0.3,0.0,0.2,0.8852459,0.409574468,0.144927536,2.78,3.68,3.33,68.23250511260672,88.22518336130804,79.33217802506606,0.7
Cade Smith,CLE,AL,73.2,300.0,12.7,2.3,5.47,0.3,0.1,0.3,0.64917127,0.366279069,0.059701492,2.93,1.95,2.65,72.42395128371678,46.25511254953156,62.690228377337824,2.71
Carlos Estévez,KCR,AL,66.0,269.0,7.4,3.0,2.45,0.2,0.1,0.1,0.7761194,0.25,0.051546391,2.45,3.67,4.95,58.16241803644672,87.74398767412805,118.76406488872036,1.09
Devin Williams,NYY,AL,62.0,259.0,13.1,3.6,3.6,0.3,0.1,0.3,0.55223881,0.446043165,0.094339622,4.79,2.68,2.95,118.2544535520456,62.33322937257516,70.08024546190458,1.35
Edwin Uceta,TBR,AL,76.0,321.0,12.2,3.2,3.81,0.3,0.1,0.2,0.78431373,0.316666666,0.1375,3.79,3.69,3.43,91.68875255869354,86.53199647021087,81.70534854625888,0.86
Emmanuel Clase,CLE,AL,47.1,201.0,8.9,2.3,3.92,0.2,0.1,0.2,0.70945946,0.459854014,0.045454545,3.23,2.71,3.6,79.84060004477385,65.0101730590518,85.79336349531481,1.09
Gabe Speier,SEA,AL,62.0,243.0,11.9,1.6,7.45,0.3,0.0,0.3,0.76923077,0.405594405,0.079365079,2.61,2.31,2.83,68.21900761607644,56.84001421490108,67.09369186486788,1.7
Garrett Cleavinger,TBR,AL,61.1,243.0,12.0,2.6,4.56,0.3,0.1,0.3,0.91603053,0.443609022,0.1875,2.35,3.59,2.89,56.807166417922026,84.22452784735309,68.55505781626762,0.72
Garrett Whitlock,BOS,AL,72.0,293.0,11.4,3.0,3.79,0.3,0.1,0.2,0.77306733,0.450867052,0.033333333,2.25,2.18,3.1,52.71385573349433,50.94380479202827,73.68000335750905,2.25
Greg Weissert,BOS,AL,67.0,278.0,7.7,2.8,2.71,0.2,0.1,0.1,0.74380165,0.413265306,0.075949367,2.82,3.67,4.33,66.08901781050353,87.3439283536373,103.61374507100282,0.68
Griffin Jax,MIN/TB,AL,64.0,274.0,13.6,2.8,4.85,0.4,0.1,0.3,0.67867036,0.444444444,0.155555555,4.36,2.51,2.17,105.57411765235518,58.84467209011437,51.01188648646499,1.64
Hunter Gaddis,CLE,AL,66.2,274.0,9.9,2.8,3.48,0.3,0.1,0.2,0.81395349,0.369318181,0.105263157,3.11,3.5,3.69,76.69395055866227,84.36055314992953,88.14425343482796,0.84
Jeff Hoffman,TOR,AL,68.0,287.0,11.1,3.6,3.11,0.3,0.1,0.2,0.796875,0.394117647,0.2,4.37,4.9,3.73,107.252969748264,115.9548479151417,89.11920966181319,-0.38
John Schreiber,KCR,AL,64.0,265.0,8.7,2.7,3.26,0.2,0.1,0.2,0.76190476,0.39010989,0.129870129,3.8,4.17,3.99,89.97001361661378,100.01554273549388,95.405545981359,0.31
Jordan Leasure,CHW,AL,63.1,265.0,11.4,4.3,2.67,0.3,0.1,0.2,0.78616352,0.289473684,0.146666666,3.84,4.34,3.9,93.41186741994832,100.97127452495852,93.27943959763611,0.59
Josh Hader,HOU,AL,52.2,206.0,13.0,2.7,4.75,0.4,0.1,0.3,0.86592179,0.212962962,0.123076923,2.05,3.25,3.18,50.34151534952387,77.66977484371573,75.55335367986969,1.1
Keegan Akin,BAL,AL,59.2,253.0,8.1,4.5,1.8,0.2,0.1,0.1,0.8,0.379518072,0.142857142,3.62,5.06,4.69,89.65228658590581,122.35434376654734,112.56051635020312,-0.65
Kenley Jansen,LAA,AL,59.0,234.0,8.7,2.9,3.0,0.2,0.1,0.2,0.85152838,0.272727272,0.087912087,2.59,3.98,4.6,62.56167310798256,93.99318898094324,110.24918746396794,0.61
Louis Varland,MIN/TOR,AL,70.2,290.0,9.2,2.8,3.27,0.2,0.1,0.2,0.76923077,0.534031413,0.130434782,3.06,3.22,3.12,74.59520195588622,76.19978722683537,74.15298276762029,1.12
Lucas Erceg,KCR,AL,61.1,249.0,7.0,2.6,2.67,0.2,0.1,0.1,0.80965909,0.528089887,0.076923076,2.64,3.49,3.95,62.587823068963566,83.54017341645647,94.50359712457328,0.86
Luke Weaver,NYY,AL,64.2,262.0,10.0,2.8,3.6,0.3,0.1,0.2,0.73584906,0.275449101,0.106382978,3.62,3.89,4.12,89.3281178275222,91.32697038078928,98.66877438029243,0.46
