Name,Team,League,PA,BB%,K%,BB/K,ISO,BABIP,wOBA,xwOBA,wRC,wRC+,wRAA,BsR,wSB,Off,Def,Spd,WAR
Aaron Judge,NYY,AL,679.0,0.2,0.2,0.78,0.357,0.376,0.463,0.475,162.76,204.47,82.53,-4.15,-0.895,79.45,-3.85,4.56,10.13
Addison Barger,TOR,AL,502.0,0.1,0.2,0.3,0.211,0.284,0.322,0.342,62.85,106.78,3.54,-0.205,-0.223,3.81,0.348,3.67,2.19
Adolis García,TEX,AL,547.0,0.1,0.2,0.21,0.168,0.267,0.286,0.315,52.53,82.83,-12.11,1.46,0.302,-9.61,-1.86,4.21,0.753
Alejandro Kirk,TOR,AL,506.0,0.1,0.1,0.81,0.14,0.292,0.334,0.368,68.58,115.55,8.79,-5.86,-0.731,3.42,24.86,1.4,4.67
Anthony Volpe,NYY,AL,596.0,0.1,0.3,0.29,0.18,0.252,0.286,0.31,57.49,82.91,-12.94,1.14,-0.376,-10.86,0.278,5.94,1.02
Ben Rice,NYY,AL,530.0,0.1,0.2,0.5,0.244,0.271,0.358,0.41,82.16,132.6,19.53,-2.02,-1.01,18.34,-6.81,4.26,3.05
Bo Bichette,TOR,AL,628.0,0.1,0.1,0.44,0.172,0.342,0.361,0.364,98.58,133.75,24.38,-3.25,-1.48,21.73,-6.01,2.72,3.82
Bobby Witt Jr.,KCR,AL,687.0,0.1,0.2,0.39,0.205,0.334,0.36,0.377,107.52,129.72,26.34,7.41,2.88,31.47,23.16,6.86,8.01
Brandon Lowe,TBR,AL,553.0,0.1,0.3,0.26,0.221,0.297,0.334,0.347,74.9,113.99,9.56,-1.77,-1.0,7.35,-9.32,2.82,1.75
Brent Rooker,ATH,AL,699.0,0.1,0.2,0.42,0.217,0.302,0.349,0.365,102.85,121.98,20.26,-0.173,-0.246,17.93,-18.42,4.21,2.41
Brooks Lee,MIN,AL,527.0,0.1,0.2,0.34,0.133,0.258,0.286,0.294,50.53,80.54,-11.74,-2.94,-0.588,-15.03,0.08,2.95,0.326
Byron Buxton,MIN,AL,542.0,0.1,0.3,0.28,0.287,0.302,0.367,0.362,87.61,136.34,23.57,8.54,4.08,31.76,-1.43,8.84,5.01
Cal Raleigh,SEA,AL,705.0,0.1,0.3,0.52,0.342,0.248,0.392,0.384,128.49,161.12,45.19,-2.76,0.159,48.02,16.28,3.61,9.06
Carlos Correa,MIN/HOU,AL,584.0,0.1,0.2,0.4,0.127,0.328,0.322,0.345,73.34,106.24,4.33,-2.99,-1.0,1.31,4.04,1.25,2.6
Ceddanne Rafaela,BOS,AL,587.0,0.0,0.2,0.24,0.165,0.289,0.307,0.313,66.23,91.49,-3.13,3.94,1.17,-1.95,18.89,6.8,3.8
Chase Meidroth,CHW,AL,505.0,0.1,0.1,0.62,0.067,0.291,0.294,0.3,51.67,86.5,-8.0,-1.07,0.205,-9.1,4.88,4.11,1.35
Christian Walker,HOU,AL,640.0,0.1,0.3,0.23,0.183,0.291,0.31,0.322,74.22,98.92,-1.4,-1.93,-0.914,-2.75,-8.45,2.76,1.11
Cody Bellinger,NYY,AL,656.0,0.1,0.1,0.63,0.207,0.274,0.347,0.332,95.84,125.04,18.33,0.842,0.731,20.2,5.12,5.56,4.9
Ernie Clement,TOR,AL,588.0,0.0,0.1,0.44,0.121,0.296,0.308,0.292,67.23,97.56,-2.25,1.07,-1.74,-0.62,11.73,4.4,3.21
George Springer,TOR,AL,586.0,0.1,0.2,0.62,0.251,0.34,0.408,0.417,114.36,166.13,45.12,2.8,2.08,48.48,-17.79,5.57,5.2
Gleyber Torres,DET,AL,628.0,0.1,0.2,0.84,0.132,0.284,0.332,0.371,83.68,112.76,9.48,-3.36,-0.844,6.08,-2.57,2.78,2.57
Gunnar Henderson,BAL,AL,651.0,0.1,0.2,0.45,0.165,0.329,0.339,0.348,90.84,119.78,13.92,7.28,2.86,22.46,1.7,6.52,4.76
J.P. Crawford,SEA,AL,654.0,0.1,0.2,0.61,0.105,0.318,0.322,0.335,82.25,113.19,4.98,-2.23,-0.07,7.94,-3.09,3.22,2.8
Jackson Holliday,BAL,AL,649.0,0.1,0.2,0.4,0.133,0.291,0.304,0.321,72.05,95.59,-4.63,-2.59,-2.17,-5.97,-4.3,4.56,1.23
Jacob Wilson,ATH,AL,523.0,0.1,0.1,0.69,0.134,0.317,0.348,0.306,76.58,121.37,14.79,-0.333,-0.776,12.84,2.98,2.94,3.46
Jarren Duran,BOS,AL,696.0,0.1,0.2,0.36,0.185,0.326,0.335,0.333,94.66,111.15,12.42,7.21,1.29,16.36,-2.0,7.24,3.92
Jazz Chisholm Jr.,NYY,AL,531.0,0.1,0.3,0.39,0.238,0.282,0.349,0.357,78.24,126.1,15.5,2.95,2.08,19.28,5.31,5.59,4.39
Jeremy Peña,HOU,AL,543.0,0.1,0.2,0.38,0.172,0.345,0.363,0.344,86.14,135.12,21.98,4.28,2.22,26.76,10.51,5.47,5.72
Jo Adell,LAA,AL,573.0,0.1,0.3,0.22,0.249,0.257,0.333,0.378,76.77,112.44,9.06,0.485,-0.142,8.89,-16.62,3.2,1.23
Jonathan India,KCR,AL,567.0,0.1,0.2,0.51,0.113,0.279,0.301,0.321,61.31,88.67,-5.69,-2.58,-2.6,-10.15,-11.83,2.09,-0.253
Jorge Polanco,SEA,AL,524.0,0.1,0.2,0.51,0.229,0.269,0.35,0.349,77.57,132.09,15.66,0.211,-0.775,20.03,-12.3,2.93,2.64
Jose Altuve,HOU,AL,654.0,0.1,0.2,0.5,0.177,0.283,0.331,0.306,86.99,113.38,9.71,-1.44,-1.51,8.87,-10.59,3.39,2.13
Josh Jung,TEX,AL,511.0,0.1,0.3,0.21,0.139,0.316,0.298,0.311,54.11,91.2,-6.27,-1.58,-0.349,-6.88,5.54,3.45,1.66
Josh Smith,TEX,AL,563.0,0.1,0.2,0.55,0.115,0.295,0.311,0.319,65.64,100.27,-0.885,1.89,0.181,2.07,-4.23,4.93,1.76
José Ramírez,CLE,AL,672.0,0.1,0.1,0.89,0.219,0.279,0.36,0.351,104.82,133.48,25.41,7.25,4.92,33.76,4.59,6.61,6.29
Julio Rodríguez,SEA,AL,710.0,0.1,0.2,0.29,0.207,0.302,0.341,0.356,99.99,125.97,16.1,3.88,2.5,25.61,5.88,6.64,5.72
Junior Caminero,TBR,AL,653.0,0.1,0.2,0.33,0.271,0.26,0.357,0.359,100.2,129.26,23.04,0.038,0.139,22.55,-0.087,3.49,4.6
Kyle Manzardo,CLE,AL,531.0,0.1,0.3,0.36,0.221,0.265,0.329,0.331,69.79,112.65,7.05,-0.495,-0.366,7.42,-14.17,2.65,1.18
Lawrence Butler,ATH,AL,630.0,0.1,0.3,0.33,0.17,0.304,0.31,0.313,73.05,95.52,-1.39,3.29,0.616,-0.044,-2.25,5.48,1.98
Lenyn Sosa,CHW,AL,544.0,0.0,0.2,0.14,0.17,0.309,0.313,0.338,64.06,99.61,-0.217,-0.516,-0.775,-0.768,-4.77,2.63,1.35
Luis Rengifo,LAA,AL,541.0,0.1,0.2,0.32,0.098,0.281,0.275,0.305,47.13,72.68,-16.8,-0.498,-1.7,-17.92,-0.522,4.43,0.018
Maikel Garcia,KCR,AL,666.0,0.1,0.1,0.74,0.163,0.308,0.347,0.344,97.0,120.51,18.3,1.13,-0.228,17.22,14.94,5.36,5.64
Marcus Semien,TEX,AL,534.0,0.1,0.2,0.54,0.134,0.251,0.295,0.325,55.18,89.03,-7.92,2.91,0.926,-4.0,6.35,4.78,2.12
Miguel Vargas,CHW,AL,569.0,0.1,0.2,0.56,0.167,0.261,0.314,0.327,67.85,100.86,0.613,-0.049,0.342,0.528,-6.93,4.94,1.35
Mike Trout,LAA,AL,556.0,0.2,0.3,0.49,0.206,0.31,0.343,0.368,79.28,119.75,13.58,-0.515,-0.577,12.43,-14.01,3.11,1.8
Nolan Schanuel,LAA,AL,564.0,0.1,0.1,0.83,0.125,0.286,0.327,0.334,73.03,108.63,6.39,-1.21,-0.453,4.53,-10.15,3.54,1.41
Paul Goldschmidt,NYY,AL,534.0,0.1,0.2,0.36,0.129,0.325,0.316,0.334,64.42,103.43,1.32,-2.54,-0.248,-0.386,-10.36,4.36,0.781
Randy Arozarena,SEA,AL,709.0,0.1,0.3,0.34,0.188,0.297,0.332,0.336,94.83,119.97,11.06,-1.26,2.59,15.43,-11.54,5.79,2.89
