Name,Team,League,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SH,SF,GDP,AVG,OBP,SLG,OPS
Agustín Ramírez,MIA,NL,136.0,585,537.0,72.0,124.0,69.0,33.0,1.0,21.0,67.0,16.0,3.0,36.0,113.0,8.0,0.0,4.0,13.0,0.231,0.287,0.413,0.701
Alec Bohm,PHI,NL,120.0,504,464.0,53.0,133.0,101.0,18.0,3.0,11.0,59.0,2.0,0.0,29.0,82.0,5.0,0.0,6.0,16.0,0.287,0.331,0.409,0.741
Alec Burleson,STL,NL,139.0,546,497.0,54.0,144.0,98.0,26.0,2.0,18.0,69.0,5.0,1.0,39.0,79.0,3.0,1.0,4.0,14.0,0.29,0.343,0.459,0.801
Andrew McCutchen,PIT,NL,135.0,551,477.0,51.0,114.0,79.0,22.0,0.0,13.0,57.0,1.0,1.0,67.0,118.0,2.0,0.0,3.0,12.0,0.239,0.333,0.367,0.7
Andy Pages,LAD,NL,156.0,624,581.0,74.0,158.0,103.0,27.0,1.0,27.0,86.0,14.0,7.0,29.0,135.0,8.0,0.0,6.0,9.0,0.272,0.312,0.461,0.774
Brandon Nimmo,NYM,NL,155.0,652,587.0,81.0,154.0,102.0,27.0,0.0,25.0,92.0,13.0,1.0,50.0,141.0,7.0,1.0,7.0,8.0,0.262,0.324,0.436,0.76
Brendan Donovan,STL,NL,118.0,515,460.0,64.0,132.0,90.0,32.0,0.0,10.0,50.0,3.0,3.0,42.0,67.0,7.0,2.0,4.0,4.0,0.287,0.353,0.422,0.775
Brenton Doyle,COL,NL,138.0,538,502.0,57.0,118.0,78.0,23.0,2.0,15.0,57.0,18.0,2.0,30.0,138.0,0.0,2.0,4.0,14.0,0.235,0.276,0.378,0.655
Brice Turang,MIL,NL,156.0,659,584.0,97.0,168.0,120.0,28.0,2.0,18.0,81.0,24.0,8.0,66.0,150.0,2.0,2.0,5.0,3.0,0.288,0.359,0.435,0.794
Bryan Reynolds,PIT,NL,154.0,654,587.0,68.0,144.0,87.0,38.0,3.0,16.0,73.0,3.0,2.0,57.0,173.0,7.0,0.0,3.0,15.0,0.245,0.318,0.402,0.72
Bryce Harper,PHI,NL,132.0,580,501.0,72.0,131.0,72.0,32.0,0.0,27.0,75.0,12.0,2.0,70.0,121.0,6.0,0.0,3.0,5.0,0.261,0.357,0.487,0.844
Bryson Stott,PHI,NL,147.0,560,499.0,66.0,128.0,90.0,22.0,3.0,13.0,66.0,24.0,5.0,54.0,91.0,1.0,2.0,4.0,4.0,0.257,0.328,0.391,0.719
CJ Abrams,WSN,NL,144.0,635,580.0,92.0,149.0,90.0,35.0,5.0,19.0,60.0,31.0,3.0,37.0,125.0,14.0,1.0,3.0,5.0,0.257,0.315,0.433,0.748
Caleb Durbin,MIL,NL,136.0,506,445.0,60.0,114.0,78.0,25.0,0.0,11.0,53.0,18.0,6.0,30.0,50.0,24.0,3.0,4.0,10.0,0.256,0.334,0.387,0.721
Christian Yelich,MIL,NL,150.0,644,573.0,88.0,151.0,101.0,21.0,0.0,29.0,103.0,16.0,6.0,64.0,167.0,6.0,0.0,1.0,6.0,0.264,0.343,0.452,0.795
Corbin Carroll,ARI,NL,143.0,642,564.0,107.0,146.0,66.0,32.0,17.0,31.0,84.0,32.0,6.0,67.0,153.0,7.0,0.0,4.0,6.0,0.259,0.343,0.541,0.883
Dansby Swanson,CHC,NL,159.0,645,590.0,84.0,144.0,93.0,24.0,3.0,24.0,77.0,20.0,3.0,47.0,168.0,2.0,1.0,5.0,9.0,0.244,0.3,0.417,0.717
Elly De La Cruz,CIN,NL,162.0,699,629.0,102.0,166.0,106.0,31.0,7.0,22.0,86.0,37.0,8.0,67.0,181.0,2.0,0.0,1.0,14.0,0.264,0.336,0.44,0.777
Eric Wagaman,MIA,NL,140.0,514,476.0,56.0,119.0,79.0,28.0,3.0,9.0,53.0,4.0,1.0,32.0,100.0,1.0,0.0,5.0,11.0,0.25,0.296,0.378,0.674
Fernando Tatis Jr.,SDP,NL,155.0,691,594.0,111.0,159.0,105.0,27.0,2.0,25.0,71.0,32.0,7.0,89.0,129.0,6.0,0.0,2.0,6.0,0.268,0.368,0.446,0.814
Francisco Lindor,NYM,NL,160.0,732,644.0,117.0,172.0,106.0,35.0,0.0,31.0,86.0,31.0,6.0,65.0,131.0,16.0,0.0,7.0,9.0,0.267,0.346,0.466,0.811
Freddie Freeman,LAD,NL,147.0,627,556.0,81.0,164.0,99.0,39.0,2.0,24.0,90.0,6.0,2.0,60.0,128.0,6.0,0.0,5.0,13.0,0.295,0.367,0.502,0.869
Gavin Lux,CIN,NL,140.0,503,446.0,49.0,120.0,85.0,28.0,2.0,5.0,53.0,1.0,0.0,56.0,114.0,0.0,0.0,1.0,3.0,0.269,0.35,0.374,0.724
Gavin Sheets,SDP,NL,145.0,545,492.0,57.0,124.0,76.0,28.0,1.0,19.0,71.0,2.0,1.0,44.0,107.0,5.0,0.0,4.0,9.0,0.252,0.317,0.429,0.746
Geraldo Perdomo,ARI,NL,161.0,720,597.0,98.0,173.0,115.0,33.0,5.0,20.0,100.0,27.0,6.0,94.0,83.0,10.0,8.0,11.0,11.0,0.29,0.389,0.462,0.851
Heliot Ramos,SFG,NL,157.0,695,620.0,85.0,159.0,113.0,24.0,1.0,21.0,69.0,6.0,4.0,52.0,158.0,17.0,0.0,6.0,16.0,0.256,0.328,0.4,0.728
Hunter Goodman,COL,NL,144.0,579,540.0,73.0,150.0,86.0,28.0,5.0,31.0,91.0,1.0,2.0,33.0,152.0,4.0,0.0,2.0,16.0,0.278,0.323,0.52,0.843
Ian Happ,CHC,NL,150.0,663,569.0,87.0,138.0,83.0,32.0,0.0,23.0,79.0,6.0,3.0,87.0,151.0,2.0,0.0,5.0,8.0,0.243,0.342,0.42,0.762
J.T. Realmuto,PHI,NL,134.0,550,502.0,57.0,129.0,90.0,26.0,1.0,12.0,52.0,8.0,2.0,35.0,129.0,9.0,0.0,3.0,13.0,0.257,0.315,0.384,0.7
Jackson Chourio,MIL,NL,131.0,589,549.0,88.0,148.0,88.0,35.0,4.0,21.0,78.0,21.0,7.0,30.0,121.0,3.0,1.0,6.0,13.0,0.27,0.308,0.463,0.77
