Name,Team,League,IP,TBF,K/9,BB/9,K/BB,K%,BB%,K-BB%,LOB%,GB%,HR/FB,ERA,FIP,xFIP,ERA-,FIP-,xFIP-,WAR
Abner Uribe,MIL,NL,75.1,298.0,10.8,3.2,3.33,0.3,0.1,0.2,0.84183673,0.532163742,0.09090909,1.67,2.75,2.96,40.03675066111539,67.01331232179307,72.10679431680921,1.69
Adrian Morejon,SDP,NL,73.2,286.0,8.6,2.1,4.12,0.2,0.1,0.2,0.68037975,0.53125,0.036363636,2.08,2.28,3.08,51.26762261308368,56.48577118848349,74.892556043369,2.24
Alex Vesia,LAD,NL,59.2,237.0,12.1,3.3,3.64,0.3,0.1,0.2,0.83657588,0.285714285,0.132352941,3.02,3.77,3.57,72.0338184299528,88.71896072290433,86.49591326018992,0.97
Anthony Bender,MIA,NL,50.0,204.0,7.6,3.8,2.0,0.2,0.1,0.1,0.82677165,0.485507246,0.056603773,2.16,3.62,4.47,50.628496375773466,87.56936414453168,107.8303292977474,0.45
Brad Keller,CHC,NL,68.2,273.0,9.6,2.9,3.32,0.3,0.1,0.2,0.81602374,0.564705882,0.08,2.1,2.99,3.36,50.73257574341314,74.01924409611979,81.4450045834694,1.21
Caleb Thielbar,CHC,NL,58.0,220.0,8.7,2.0,4.31,0.3,0.1,0.2,0.77272727,0.406666666,0.073529411,2.64,3.0,3.68,63.81663557938855,74.20459588553821,89.239532721871,1.11
Calvin Faucher,MIA,NL,60.1,255.0,8.8,3.6,2.46,0.2,0.1,0.1,0.77034884,0.458333333,0.145454545,3.28,4.25,3.93,76.92174603371437,102.48922083265197,94.99788322099556,-0.02
Camilo Doval,SFG,NL,46.2,191.0,9.6,4.6,2.08,0.3,0.1,0.1,0.6884058,0.526315789,0.06060606,3.09,3.22,3.75,75.1121615327843,81.24671976868139,90.89277969915616,0.55
Daniel Palencia,CHC,NL,52.2,215.0,10.4,2.7,3.81,0.3,0.1,0.2,0.78181818,0.388059701,0.096153846,2.91,3.08,3.37,70.27906597949489,76.15365310439239,81.71459959708575,0.95
Dennis Santana,PIT,NL,70.1,270.0,7.7,2.2,3.53,0.2,0.1,0.2,0.80701754,0.384210526,0.058139534,2.18,3.21,4.17,50.71517496542327,78.24765337457778,100.6772965984553,1.17
Dylan Lee,ATL,NL,68.1,266.0,10.0,1.8,5.43,0.3,0.1,0.2,0.81967213,0.370588235,0.173333333,3.29,4.0,3.22,77.85032504005113,98.5974098536278,78.19481657571097,0.32
Edwin Díaz,NYM,NL,66.1,258.0,13.3,2.8,4.67,0.4,0.1,0.3,0.86092715,0.484375,0.093023255,1.63,2.28,2.49,40.006583045757225,56.24509382869295,61.002592575330524,2.01
Emilio Pagán,CIN,NL,68.2,270.0,10.6,2.9,3.68,0.3,0.1,0.2,0.76470588,0.286585365,0.107526881,2.88,3.72,3.91,65.29170392905579,85.7317831483471,94.64845116624276,1.04
Graham Ashcraft,CIN,NL,65.1,284.0,8.8,3.4,2.56,0.2,0.1,0.1,0.62084257,0.558510638,0.048780487,3.99,2.72,3.29,90.45748616022964,63.2841634178704,79.94353780941447,1.61
Jared Koenig,MIL,NL,66.0,268.0,9.3,2.7,3.4,0.3,0.1,0.2,0.82644628,0.459770114,0.085714285,2.86,3.35,3.8,68.54777588165967,81.12378332904484,91.99839355951129,0.89
Jason Adam,SDP,NL,65.1,270.0,9.6,3.4,2.8,0.3,0.1,0.2,0.82872928,0.423529411,0.055555555,1.93,3.07,3.98,47.605643481919415,75.44612920437069,96.17530315260107,1.24
Jeremiah Estrada,SDP,NL,73.0,304.0,13.3,3.3,4.0,0.4,0.1,0.3,0.8005618,0.359756097,0.142857142,3.45,3.55,3.18,85.21193509551561,86.72194901928872,77.38128757546886,1.04
JoJo Romero,STL,NL,61.0,255.0,8.1,4.3,1.9,0.2,0.1,0.1,0.75797872,0.545454545,0.04,2.07,3.28,4.12,50.15308165229519,81.41565800458204,99.56291345214235,0.89
Jose A. Ferrer,WSN,NL,76.1,324.0,8.4,1.9,4.44,0.2,0.0,0.2,0.64948454,0.625570776,0.111111111,4.48,3.03,3.09,106.45447876524268,73.49308404043597,75.12020118757886,1.38
Matt Strahm,PHI,NL,62.1,256.0,10.1,2.9,3.5,0.3,0.1,0.2,0.75806452,0.211538461,0.054347826,2.74,2.99,4.22,64.12927207842512,71.52205966718432,102.00962919291794,1.53
Orion Kerkering,PHI,NL,60.0,266.0,9.8,4.1,2.41,0.2,0.1,0.1,0.74742268,0.420118343,0.092307692,3.3,3.82,4.19,77.14264278982716,90.76660444360697,101.18539105902616,0.71
Raisel Iglesias,ATL,NL,67.1,266.0,9.8,2.1,4.56,0.3,0.1,0.2,0.76124567,0.304597701,0.09090909,3.21,3.31,3.78,75.84624614337369,82.05514808150312,91.59936702104277,1.0
Reed Garrett,NYM,NL,54.1,235.0,10.3,4.3,2.38,0.3,0.1,0.2,0.70149254,0.4,0.102040816,3.98,3.54,3.74,97.6848000627191,86.3579796006476,90.4241206225462,0.7
Robert Suarez,SDP,NL,69.2,269.0,9.7,2.1,4.69,0.3,0.1,0.2,0.72438163,0.362068965,0.084507042,2.97,2.88,3.33,73.34457652889328,70.73818493447475,80.81911533433441,1.91
Ronny Henriquez,MIA,NL,73.0,303.0,12.1,3.3,3.63,0.3,0.1,0.2,0.83791209,0.397660818,0.101265822,2.22,3.15,3.39,52.01558041172562,76.5349779420515,82.3400643290935,1.35
Ryan Helsley,STL/NYM,NL,56.0,252.0,10.1,4.0,2.52,0.2,0.1,0.2,0.72559367,0.440993788,0.145454545,4.5,4.14,3.79,110.01159311028812,101.35763448164325,91.79904308322536,0.25
Ryan Walker,SFG,NL,61.1,266.0,8.8,2.6,3.33,0.2,0.1,0.2,0.67164179,0.494318181,0.085106382,4.11,3.3,3.63,100.01348512081827,83.14695272015513,88.00133506509641,0.62
Tanner Scott,LAD,NL,57.0,238.0,9.5,2.8,3.33,0.3,0.1,0.2,0.70957096,0.392156862,0.177419354,4.74,4.7,3.87,113.10571980953512,109.98257041072117,93.51661667852456,-0.02
Tony Santillan,CIN,NL,73.2,301.0,9.2,3.5,2.59,0.2,0.1,0.2,0.82901554,0.361702127,0.093333333,2.44,3.72,4.05,55.32740559965724,85.75852290769953,97.97775874372246,1.05
Trevor Megill,MIL,NL,47.0,192.0,11.5,3.3,3.53,0.3,0.1,0.2,0.75819672,0.392857142,0.069767441,2.49,2.5,3.08,59.58863869918761,61.02618386584878,74.88132788872693,1.55
Tyler Rogers,SF/NYM,NL,77.1,299.0,5.6,0.8,6.86,0.2,0.0,0.1,0.78947368,0.620833333,0.09090909,1.98,2.88,3.08,48.3466005142618,71.87865319449485,74.9688556323856,1.3
