Name,Team,League,PA,BB%,K%,BB/K,ISO,BABIP,wOBA,xwOBA,wRC,wRC+,wRAA,BsR,wSB,Off,Def,Spd,WAR
Agustín Ramírez,MIA,NL,585,0.1,0.2,0.32,0.182,0.253071253,0.3016440455336922,0.3401144504829241,63.69752103985015,90.8664251614782,-5.425121201568219,-0.8761126431636512,1.238696443848312,-7.209293695066991,-12.506879677067966,5.351482721619367,-0.0250498642403089
Alec Bohm,PHI,NL,504,0.1,0.2,0.35,0.123,0.323607427,0.3223960753234606,0.3324185069576202,63.36968187071818,104.81191653964764,3.817867016573132,-2.8194347890093923,-0.491184432990849,0.0551416959284551,0.1442495973743888,3.674412093279986,1.7367239059764372
Alec Burleson,STL,NL,546,0.1,0.1,0.49,0.169,0.311881188,0.3455938537402346,0.3521262280304323,78.93416922366346,124.4604004188996,14.419703131672986,-0.9604485696181656,-0.3271072069182992,14.869570969735332,-12.48504101166603,3.360538364725038,2.103317911414
Andrew McCutchen,PIT,NL,551,0.1,0.2,0.57,0.128,0.28939828,0.3089271420065094,0.3413654349416632,63.25363884470927,95.31282304207076,-1.8516190613104224,-4.2592081148177385,-1.1535126836970448,-7.320383375738395,-12.227988619764623,1.4342998717372335,-0.1236654238161252
Andy Pages,LAD,NL,624,0.0,0.2,0.21,0.189,0.308235294,0.331916373127546,0.325246339375918,83.28100565545886,113.45274361961069,9.550187264612603,0.2645209184847772,-0.9908124543726444,10.214466402816315,8.449142268459765,4.162318821728501,4.034492915408293
Brandon Nimmo,NYM,NL,652,0.1,0.2,0.35,0.174,0.301401869,0.3287414705753326,0.3305904012574599,85.3372841764943,114.0696754624372,8.298031627084422,1.296831485524308,1.1474668588489294,12.17002009932214,-4.578094068767853,4.176922277979327,2.997072536923974
Brendan Donovan,STL,NL,515,0.1,0.1,0.63,0.135,0.315245478,0.337013126003976,0.3564700415978829,70.86465426388874,118.58268690608088,10.013097418879417,-0.5186885467264801,-1.5263377502560616,10.824652370239864,-0.0846587309916026,2.515662604425064,2.852618884993063
Brenton Doyle,COL,NL,538,0.1,0.3,0.22,0.143,0.291784702,0.2837627521201746,0.3071313123864013,50.769228292124886,66.30684101364199,-12.799970897418838,1.2898802533745766,2.068017866462469,-20.19580715386329,7.517051637918482,5.572535296524764,0.5349120602798036
Brice Turang,MIL,NL,659,0.1,0.2,0.44,0.147,0.356294536,0.3463064688371449,0.3424707633080601,95.65164697583572,123.55524815421644,17.785285886784955,2.6166634999681264,0.2894060453400016,21.015838261403083,0.1459586385187918,5.330907143455436,4.409277980078149
Bryan Reynolds,PIT,NL,654,0.1,0.3,0.33,0.157,0.319201995,0.3146618450399927,0.3494053509063516,78.12289837047163,99.24103782150904,0.8473290954500858,0.4948732936754823,-1.2092395592480898,-0.0934595973446543,-11.12944993495833,3.279438451284082,1.0788902030732217
Bryce Harper,PHI,NL,580,0.1,0.2,0.58,0.226,0.292134831,0.3609655196243047,0.3787334952308741,91.08814861539666,131.2316038805057,22.55629818800751,1.3610395737923682,0.6435713972896338,22.831805007140225,-8.230134414465148,3.700262502409818,3.469068033894387
Bryson Stott,PHI,NL,560,0.1,0.2,0.59,0.134,0.288220551,0.3152072289473706,0.3177414855215852,67.14219532810388,99.88762797286628,0.9735121568316086,3.836752816103399,1.8018167465925217,3.762164382229136,7.908122271442269,5.708893731866553,3.1010426886386404
CJ Abrams,WSN,NL,635,0.1,0.2,0.3,0.176,0.296127562,0.3236536493798568,0.3181268143074772,80.48913074152361,107.30381330746944,5.458570359813083,7.376037009060383,4.047256868332624,12.873326844142785,-3.3381029746572626,7.581525436740776,3.13800435563988
Caleb Durbin,MIL,NL,506,0.1,0.1,0.6,0.13,0.265463917,0.3193186381702158,0.3156405553679032,62.35685145443921,105.0688514442518,2.568719874682475,2.313870043493808,0.2715158052742481,5.353952240745176,3.627476752465226,4.793946827428125,2.6420470764402464
Christian Yelich,MIL,NL,644,0.1,0.3,0.38,0.188,0.322751322,0.3431644009945908,0.3458163292794905,91.83154774945562,121.402962802202,15.737562102492497,2.869842851534486,-0.3463292857632041,19.207320637296483,-16.728103080011945,3.9177836187154575,2.446735242513397
Corbin Carroll,ARI,NL,642,0.1,0.2,0.44,0.282,0.299479166,0.3714982034831211,0.3825091469751776,106.31530008080632,139.0726044759469,30.45763115945487,10.272713606245816,3.0451103821396828,40.00529628328263,2.5779757148836,8.263980313610517,6.543071098044568
Dansby Swanson,CHC,NL,645,0.1,0.3,0.28,0.173,0.297766749,0.309509365035809,0.3552878092230236,74.3495416008837,99.38717866729402,-1.8626024088852589,4.74692193698138,1.840655469335616,4.278411968701285,6.895603904090702,5.872345434397692,3.3397273280394253
