Name,Team,League,G,GS,IP,H,R,ER,HR,BB,IBB,SO,HBP,ERA,WHIP,W,L,SV
Andre Pallante,STL,NL,31.0,31.0,162.2,173.0,109.0,96.0,21.0,62.0,0.0,111.0,5.0,5.31,1.44,6.0,15.0,0.0
Andrew Abbott,CIN,NL,29.0,29.0,166.1,148.0,60.0,53.0,19.0,43.0,0.0,149.0,3.0,2.87,1.15,10.0,7.0,0.0
Brady Singer,CIN,NL,32.0,32.0,169.2,150.0,80.0,76.0,19.0,60.0,0.0,163.0,14.0,4.03,1.24,14.0,12.0,0.0
Brandon Pfaadt,ARI,NL,33.0,33.0,176.2,198.0,107.0,103.0,26.0,37.0,2.0,147.0,12.0,5.25,1.33,13.0,9.0,0.0
Cristopher Sánchez,PHI,NL,32.0,32.0,202.0,171.0,58.0,56.0,12.0,44.0,0.0,212.0,6.0,2.5,1.06,13.0,5.0,0.0
David Peterson,NYM,NL,30.0,30.0,168.2,166.0,84.0,79.0,11.0,65.0,1.0,150.0,7.0,4.22,1.37,9.0,6.0,0.0
Dylan Cease,SDP,NL,32.0,32.0,168.0,152.0,91.0,85.0,21.0,71.0,2.0,215.0,5.0,4.55,1.33,8.0,12.0,0.0
Freddy Peralta,MIL,NL,33.0,33.0,176.2,124.0,54.0,53.0,21.0,66.0,0.0,204.0,9.0,2.7,1.08,17.0,6.0,0.0
Jake Irvin,WSN,NL,33.0,33.0,180.0,195.0,120.0,114.0,38.0,62.0,0.0,124.0,6.0,5.7,1.43,9.0,13.0,0.0
Jesús Luzardo,PHI,NL,32.0,32.0,183.2,167.0,85.0,80.0,16.0,57.0,0.0,216.0,3.0,3.92,1.22,15.0,7.0,0.0
Kyle Freeland,COL,NL,31.0,31.0,162.2,193.0,105.0,90.0,22.0,38.0,2.0,124.0,6.0,4.98,1.42,5.0,17.0,0.0
Logan Webb,SFG,NL,34.0,34.0,207.0,210.0,82.0,74.0,14.0,46.0,0.0,224.0,6.0,3.22,1.24,15.0,11.0,0.0
Matthew Boyd,CHC,NL,31.0,31.0,179.2,154.0,69.0,64.0,19.0,42.0,0.0,154.0,9.0,3.21,1.09,14.0,8.0,0.0
Mitch Keller,PIT,NL,32.0,32.0,176.1,171.0,91.0,82.0,21.0,51.0,0.0,150.0,10.0,4.19,1.26,6.0,15.0,0.0
Nick Pivetta,SDP,NL,31.0,31.0,181.2,129.0,63.0,58.0,22.0,50.0,1.0,190.0,3.0,2.87,0.99,13.0,5.0,0.0
Paul Skenes,PIT,NL,32.0,32.0,187.2,136.0,45.0,41.0,11.0,42.0,0.0,216.0,6.0,1.97,0.95,10.0,10.0,0.0
Robbie Ray,SFG,NL,32.0,32.0,182.1,148.0,81.0,74.0,22.0,73.0,0.0,186.0,4.0,3.65,1.21,11.0,8.0,0.0
Sandy Alcantara,MIA,NL,31.0,31.0,174.2,165.0,107.0,104.0,22.0,57.0,0.0,142.0,9.0,5.36,1.27,11.0,12.0,0.0
Sonny Gray,STL,NL,32.0,32.0,180.2,185.0,93.0,86.0,25.0,38.0,0.0,201.0,3.0,4.28,1.23,14.0,8.0,0.0
Yoshinobu Yamamoto,LAD,NL,30.0,30.0,173.2,113.0,53.0,48.0,14.0,59.0,0.0,201.0,3.0,2.49,0.99,12.0,8.0,0.0
Zac Gallen,ARI,NL,33.0,33.0,192.0,176.0,109.0,103.0,31.0,66.0,1.0,175.0,4.0,4.83,1.26,13.0,15.0,0.0
