Name,Team,League,IP,TBF,K/9,BB/9,K/BB,K%,BB%,K-BB%,LOB%,GB%,HR/FB,ERA,FIP,xFIP,ERA-,FIP-,xFIP-,WAR
Andre Pallante,STL,NL,162.2,715.0,6.1,3.4,1.79,0.2,0.1,0.1,0.62203229,0.591337099,0.172131147,5.31,4.69,4.16,128.96504133582678,115.29659999282792,100.56120490470646,0.72
Andrew Abbott,CIN,NL,166.1,684.0,8.1,2.3,3.47,0.2,0.1,0.2,0.8004779,0.318087318,0.082608695,2.87,3.66,4.31,64.93485347373195,84.39099432661578,103.94118438534332,3.93
Brady Singer,CIN,NL,169.2,716.0,8.6,3.2,2.72,0.2,0.1,0.1,0.72948328,0.388655462,0.1,4.03,3.98,4.25,91.28477386178108,91.59971227099656,102.60557303986548,2.88
Brandon Pfaadt,ARI,NL,176.2,767.0,7.5,1.9,3.97,0.2,0.0,0.1,0.66476733,0.420774647,0.132653061,5.25,4.22,4.01,123.42638015288888,105.42442962148544,97.03858246291492,1.66
Cristopher Sánchez,PHI,NL,202.0,807.0,9.4,2.0,4.82,0.3,0.1,0.2,0.79823702,0.58302583,0.092307692,2.5,2.55,2.77,58.32566383913755,61.29728031079124,67.62097866461372,6.4
David Peterson,NYM,NL,168.2,723.0,8.0,3.5,2.31,0.2,0.1,0.1,0.6918239,0.546558704,0.092436974,4.22,3.49,3.73,103.5809406485054,85.04538272184422,90.20444169797916,3.14
Dylan Cease,SDP,NL,168.0,722.0,11.5,3.8,3.03,0.3,0.1,0.2,0.6898288,0.366197183,0.118644067,4.55,3.56,3.56,112.40220490649573,87.00039360408618,86.23318977825312,3.4
Freddy Peralta,MIL,NL,176.2,723.0,10.4,3.4,3.09,0.3,0.1,0.2,0.85495283,0.372727272,0.104477611,2.7,3.65,3.85,64.63075060079319,88.15005023002936,93.24756789411131,3.62
Jake Irvin,WSN,NL,180.0,787.0,6.2,3.1,2.0,0.2,0.1,0.1,0.68160153,0.428087986,0.168888888,5.7,5.64,4.82,135.4337291966623,134.93348072147694,116.08049208797706,-0.39
Jesús Luzardo,PHI,NL,183.2,758.0,10.6,2.8,3.79,0.3,0.1,0.2,0.69403715,0.427672955,0.09039548,3.92,2.9,3.25,91.63949215737,69.30912837594396,78.93630568604797,5.34
Kyle Freeland,COL,NL,162.2,709.0,6.9,2.1,3.26,0.2,0.1,0.1,0.64015519,0.418691588,0.111675126,4.98,4.18,4.29,103.99885798068384,95.9655803479072,103.56433593494891,2.45
Logan Webb,SFG,NL,207.0,856.0,9.7,2.0,4.87,0.3,0.1,0.2,0.74257426,0.532399299,0.098591549,3.22,2.6,2.78,78.31742566963196,66.08216930894292,67.8865992495713,5.53
Matthew Boyd,CHC,NL,179.2,718.0,7.7,2.1,3.67,0.2,0.1,0.2,0.76233184,0.37944664,0.08370044,3.21,3.65,4.22,77.55777123207375,89.85092838243314,101.9349808421481,3.43
Mitch Keller,PIT,NL,176.1,749.0,7.7,2.6,2.94,0.2,0.1,0.1,0.69595262,0.436329588,0.108247422,4.19,4.02,4.17,97.5729905328556,97.58798196429876,100.69153094042456,2.49
Nick Pivetta,SDP,NL,181.2,721.0,9.4,2.5,3.8,0.3,0.1,0.2,0.78703704,0.335443037,0.096916299,2.87,3.49,3.85,70.92803502232648,85.4524600492328,93.05148937964138,3.67
Paul Skenes,PIT,NL,187.2,733.0,10.4,2.0,5.14,0.3,0.1,0.2,0.82443654,0.443254817,0.06321839,1.97,2.36,3.03,45.84024085479707,58.19089088682847,73.75413940062471,6.5
Robbie Ray,SFG,NL,182.1,755.0,9.2,3.6,2.55,0.2,0.1,0.1,0.7415036,0.360655737,0.096491228,3.65,3.93,4.29,88.91247124488778,98.68226606824228,103.57711256434668,2.18
Sandy Alcantara,MIA,NL,174.2,745.0,7.3,2.9,2.49,0.2,0.1,0.1,0.61938062,0.46542056,0.125714285,5.36,4.28,4.19,125.60503295689108,103.3065824487063,101.15600839669608,1.74
Sonny Gray,STL,NL,180.2,753.0,10.0,1.9,5.29,0.3,0.1,0.2,0.69633508,0.438735177,0.14450867,4.28,3.39,3.07,104.02069401823267,84.00383043667703,74.63500352359567,3.57
Yoshinobu Yamamoto,LAD,NL,173.2,684.0,10.4,3.1,3.41,0.3,0.1,0.2,0.78507079,0.527577937,0.107692307,2.49,2.94,3.05,59.39678005850736,69.56859828422243,74.1206987227067,5.0
Zac Gallen,ARI,NL,192.0,813.0,8.2,3.1,2.65,0.2,0.1,0.1,0.67620928,0.436170212,0.145539906,4.83,4.51,4.12,113.56941163994604,112.49875584969992,99.47263937033816,1.06
